star_id,radius_fraction,beta,density_g_cm3,temperature_k,mean_molecular_weight,grad_ad,grad_rad,epsilon_erg_g_s,delta_n_rad,delta_n_mu,delta_n_conv,delta_n_nuc_global,delta_n_deg
mesa_model_0001_profile_01,0.16002937693485733,1.0,0.0004581991511387709,279773.26852365176,0.6214036139405675,0.39531178857130883,13.53127399003581,2.5028464094819244e-20,0.0,0.00020445022158998864,26.48117365181832,0.11199300147368631,0.0015088594112084085
mesa_model_0001_profile_01,0.16202930698977433,1.0,0.0004568615953953955,279236.7490535857,0.6214065277455982,0.39530339833806616,9.907766238047337,2.4174965735449878e-20,0.0,0.00020881792120282298,19.13079618726047,0.11199300147368631,0.0015088150265750294
mesa_model_0001_profile_01,0.16402923704469136,1.0,0.0004555113181299904,278694.5569725666,0.6214095026260812,0.3952948501903539,2.7372525900522646,2.3340050648983964e-20,0.0,0.0002130806027426002,4.698739676643484,0.11199300147368631,0.0015087702102009716
mesa_model_0001_profile_01,0.16602916709960835,1.0,0.00045414809594633587,278146.6024766005,0.6214125378865346,0.3952861379488571,-2.009361082837751,2.2523444591614295e-20,0.0,0.0002172315028724044,0.0,0.11199300147368631,0.0015087248542716774
mesa_model_0001_profile_01,0.16802909715452535,1.0,0.00045277196677356195,277592.8886683094,0.6214156321305447,0.39527725585627416,-2.815889822215233,2.1725114933610327e-20,0.0,0.00022126275451975517,0.0,0.11199300147368631,0.0015086789220286948
mesa_model_0001_profile_01,0.17002902720944238,1.0,0.00045138315904496147,277033.48637852096,0.6214187834507237,0.3952681984629478,-1.4136058243912482,2.0945205180038192e-20,0.0,0.00022517175583381183,0.0,0.11199300147368631,0.0015086324307409117
mesa_model_0001_profile_01,0.17202895726435938,1.0,0.0004499819055159412,276468.46797466476,0.6214219899280905,0.3952589603262002,0.39254116471261646,2.0183862832069195e-20,0.0,0.00022893699474540254,0.0,0.11199300147368631,0.0015085853995583378
mesa_model_0001_profile_01,0.17402888731927638,1.0,0.00044856841700221254,275897.89800118766,0.6214252490835278,0.39524953624343967,1.182100997281651,1.9441196248953246e-20,0.0,0.00023244948098099288,1.5597997842916427,0.11199300147368631,0.001508537841928675
mesa_model_0001_profile_01,0.17602881737419337,1.0,0.0004471428160759708,275321.80953776685,0.6214285561849946,0.39523992197772123,1.0811170303525675,1.8717156357455462e-20,0.0,0.00023560116626504795,1.3563431330966174,0.11199300147368631,0.0015084897457301263
mesa_model_0001_profile_01,0.1780287474291104,1.0,0.00044570520312667993,274740.22775443835,0.6214319059341079,0.39523011353484533,0.6043914927604259,1.8011654508827045e-20,0.0,0.000238367545045989,0.41261913809161277,0.11199300147368631,0.0015084410916698192
